date,currency,rate
2026-08-05,HKD,0.101871
2026-08-05,SGD,0.573579
2026-08-05,USD,0.786347
2026-08-06,EUR,0.88212
2026-08-06,HKD,0.102147
2026-08-06,SGD,0.57279
2026-08-06,USD,0.7851
2026-08-07,EUR,0.879979
2026-08-07,HKD,0.101846
2026-08-07,SGD,0.57
2026-08-07,USD,0.786823
2026-08-10,EUR,0.886477
2026-08-10,HKD,0.101947
2026-08-10,SGD,0.5683
2026-08-10,USD,0.790107
2026-08-11,EUR,0.887716
2026-08-11,HKD,0.102255
2026-08-11,SGD,0.568429
2026-08-11,USD,0.790817
2026-08-12,EUR,0.891625
2026-08-12,HKD,0.102315
2026-08-12,SGD,0.568456
2026-08-12,USD,0.792159
2026-08-13,EUR,0.895328
2026-08-13,HKD,0.102619
2026-08-13,SGD,0.565209
2026-08-13,USD,0.790946
2026-08-14,EUR,0.899283
2026-08-14,HKD,0.103177
2026-08-14,SGD,0.566643
2026-08-14,USD,0.794056
2026-08-17,EUR,0.895802
2026-08-17,HKD,0.103121
2026-08-17,SGD,0.568309
2026-08-17,USD,0.794116
2026-08-18,EUR,0.896712
2026-08-18,HKD,0.102486
2026-08-18,SGD,0.566175
2026-08-18,USD,0.799949
2026-08-19,EUR,0.893635
2026-08-19,HKD,0.102863
2026-08-19,SGD,0.568398
2026-08-19,USD,0.795675
2026-08-20,EUR,0.898133
2026-08-20,HKD,0.102763
2026-08-20,SGD,0.567978
2026-08-20,USD,0.798288
2026-08-21,EUR,0.894596
2026-08-21,HKD,0.102946
2026-08-21,SGD,0.568143
2026-08-21,USD,0.798178
2026-08-24,EUR,0.893516
2026-08-24,HKD,0.103184
2026-08-24,SGD,0.568971
2026-08-24,USD,0.800238
2026-08-25,EUR,0.88996
2026-08-25,HKD,0.103286
2026-08-25,SGD,0.569834
2026-08-25,USD,0.799636
2026-08-26,EUR,0.888388
2026-08-26,HKD,0.103146
2026-08-26,SGD,0.571154
2026-08-26,USD,0.80022
2026-08-27,EUR,0.885903
2026-08-27,HKD,0.103129
2026-08-27,SGD,0.574234
2026-08-27,USD,0.793638
2026-08-28,EUR,0.885954
2026-08-28,HKD,0.102993
2026-08-28,SGD,0.573748
2026-08-28,USD,0.797384
2026-08-31,EUR,0.884885
2026-08-31,HKD,0.102623
2026-08-31,SGD,0.575117
2026-08-31,USD,0.79872
2026-09-01,EUR,0.88218
2026-09-01,HKD,0.103067
2026-09-01,SGD,0.574774
2026-09-01,USD,0.799335
2026-09-02,EUR,0.88111
2026-09-02,HKD,0.103247
2026-09-02,SGD,0.575749
2026-09-02,USD,0.797995
2026-09-03,EUR,0.880515
2026-09-03,HKD,0.10357
2026-09-03,SGD,0.574414
2026-09-03,USD,0.795824
2026-09-04,EUR,0.880143
2026-09-04,HKD,0.103442
2026-09-04,SGD,0.575674
2026-09-04,USD,0.792616
